  11 |       5 |       56
  11 |       5 |     52.5
  11 | 4.69167 |     52.5
  11 | 3.33333 |     52.5
  11 | 3.33333 |       55
  11 | 3.16667 |       55
  11 | 3.16667 |       57
  11 |     3.1 |       57
  11 |     3.1 |       68
  11 | 3.41667 |       68
  11 | 3.41667 |       77
  11 | 3.50833 |       77
  11 | 3.50833 |       80
  11 |       5 |       80
  11 |       5 |       85
  11 |       8 |       85
  11 |       8 |     86.5
  11 |    14.5 |     86.5
  11 |    14.5 |       80
  11 | 13.5833 |       80
  11 | 13.5833 |       77
  11 |      13 |       77
  11 |    11.5 |       77
  11 |    11.5 |       80
  11 | 10.6667 |       80
  11 | 10.6667 |       82
  11 | 9.16667 |       82
  11 | 9.16667 |     73.5
  11 | 7.96667 |     73.5
  11 | 7.96667 |       60
  11 |       7 |       60
  11 |       7 |       62
  11 |     6.1 |       62
  12 |    9.25 |        7
  12 | 8.08333 |        7
  12 |   7.925 |        7
  12 |   7.925 |       10
  12 | 7.80833 |       10
  12 | 7.80833 |     13.5
  12 | 7.80833 |       20
  12 | 7.88333 |       20
  12 | 7.88333 |       28
  12 |       8 |       28
  12 |       8 |     33.5
  12 |    9.25 |     33.5
  13 |      12 |       34
  13 |      12 |       45
  13 | 12.0833 |       45
  13 | 12.0833 |       53
  13 |    13.5 |       53
  13 |    13.5 |     48.5
  13 | 14.0333 |     48.5
  13 | 14.0333 |    30.75
  13 | 13.9583 |    30.75
  13 | 13.9583 |     28.5
  13 |    13.5 |     28.5
  13 |   13.25 |     28.5
  13 |   13.25 |       32
  13 | 12.3333 |       32
  13 | 12.3333 |       34
  14 | 6.11667 |      -11
  14 | 7.36667 |      -11
  14 | 7.36667 |      -33
  14 | 6.58333 |      -33
  14 | 6.11667 |      -33
  14 | 6.11667 |   -27.25
  15 | 8.08333 |        0
  15 |     7.2 |        0
  15 |     7.2 |      1.5
  15 | 7.01667 |      1.5
  15 | 7.01667 |      5.5
  15 |       7 |      5.5
  15 |       7 |       10
  15 |       7 |     12.5
  15 |     7.5 |     12.5
  15 |     7.5 |     13.5
  15 | 7.80833 |     13.5
  15 | 7.80833 |       10
  15 |   7.925 |       10
  15 |   7.925 |        7
  15 | 8.08333 |        7
  16 | 20.5333 |       -9
  16 | 20.5333 |      -15
  16 | 21.3333 |      -15
  16 | 21.3333 |       -9
  16 | 21.8667 |       -9
  16 | 21.8667 |    -25.5
  16 | 21.3333 |    -25.5
  16 | 21.3333 |      -28
  16 | 20.3333 |      -28
  16 |      20 |      -28
  16 |      20 | -12.0333
  16 |      20 |       -9
  17 |   11.25 |    -56.5
  17 |   11.25 |      -64
  17 |   11.25 |      -75
  17 | 9.03333 |      -75
  17 | 9.03333 |      -64
  17 | 6.83333 |      -64
  17 | 6.83333 |      -58
  17 |     6.5 |      -58
  17 |     6.5 |      -55
  17 | 6.16667 |      -55
  17 | 6.16667 |    -52.5
  17 |       6 |    -52.5
  17 |       6 |   -50.75
  17 |       8 |   -50.75
  17 | 8.16667 |   -50.75
  17 | 8.16667 |      -53
  17 |    8.45 |      -53
  17 |    8.45 |    -54.5
  17 | 8.83333 |    -54.5
  17 | 8.83333 |    -56.5
  17 |      11 |    -56.5
  18 | 22.8667 |     52.5
  18 | 22.8667 |    56.25
  18 | 22.8667 |  59.0833
